"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Los Angeles","Los Angeles","Los Angeles County","California",10081600,36.5,68044,29985,45.8,582840,1460,35.8,20.9,20.6,41.5,26,21.2,11.3,32.5,43.9,6.1,14.9,9.6
"Cook","Cook","Cook County","Illinois",5198280,36.8,64660,32955,56.9,246959,1123,32.2,12.9,23.1,36,25.2,23,15.8,38.8,42.9,7,14.4,8.8
"Harris","Harris","Harris County","Texas",4646630,33.5,61705,31323,54.6,176481,1078,30.8,18.6,23.4,42,26.6,20.1,11.4,31.5,47.8,5.8,15.7,20.2
"Maricopa","Maricopa","Maricopa County","Arizona",4328810,36.4,64468,32158,62.2,258679,1127,30.2,12.3,22.4,34.69999980926514,32.6,20.8,11.9,32.7,42.7,5,13.8,10.6
"San Diego","San Diego","San Diego County","California",3316070,35.8,78980,34307,53.3,561830,1658,35.5,12.6,18.2,30.80000114440918,30.4,23.8,15,38.8,50.8,6,11.6,7.8
"Orange","Orange","Orange County","California",3168040,38.1,90234,36135,57.4,677585,1854,35.1,14.5,17.2,31.700000762939453,27.7,26,14.5,40.5,48.1,4.6,10.9,7.6
"Miami-Dade","Miami-Dade","Miami-Dade County","Florida",2699430,39.9,51347,24787,51.2,289396,1328,42.8,18.6,27.3,45.89999961853027,24.4,18.9,10.9,29.8,42.8,5.3,17.1,16.8
"Dallas","Dallas","Dallas County","Texas",2606870,33.4,59607,31136,50,177142,1105,29.2,20.7,22.6,43.30000114440918,25.3,19.9,11.5,31.4,41.8,4.8,15.4,21
"Kings","Kings","Kings County","New York",2589970,35.2,60231,31406,30.1,704829,1426,36,17.6,25.7,43.30000114440918,19.2,22.5,15,37.5,41.1,6.2,20,7.3
"Riverside","Riverside","Riverside County","California",2411440,35.6,67005,28557,66.3,344260,1375,36.8,18,26.9,44.89999961853027,32.9,14.2,8.1,22.3,44.1,7.5,13.7,8.8
"Queens","Queens","Queens County","New York",2287390,39,68666,31992,44.8,543076,1583,34.7,18,27.5,45.5,22.3,20.2,11.9,32.1,44.5,5.6,12.2,9.5
"King","King","King County","Washington",2195500,37,94974,45489,56.9,548755,1606,30.1,6.9,15,21.90000009536743,25.6,31.4,21.1,52.5,54.3,4.2,8.9,5.3
"Clark","Clark","Clark County","Nevada",2182000,37.3,59340,30913,53.8,261200,1132,32,13.9,28.5,42.39999961853027,33.1,16.2,8.3,24.5,40.4,6.4,13.7,11.7
"San Bernardino","San Bernardino","San Bernardino County","California",2149030,33.3,63362,27235,59.8,324702,1283,35.2,20,26.3,46.29999923706055,32.7,13.6,7.4,21,46.1,7.7,16,8.4
"Tarrant","Tarrant","Tarrant County","Texas",2049770,34.4,67700,33326,60.5,188950,1095,29.3,13.9,24,37.89999961853027,29.9,21.7,10.6,32.3,40.6,4.7,11.9,16.1
"Bexar","Bexar","Bexar County","Texas",1952840,33.6,57157,27976,58.5,157811,1015,31.2,15.8,25.4,41.19999980926514,30.8,17.8,10.3,28.1,44.3,5.3,15.7,15.2
"Santa Clara","Santa Clara","Santa Clara County","California",1927470,37.1,124055,47584,56.4,983491,2268,29.8,11.6,14.1,25.700000762939453,21.9,27.7,24.7,52.4,64.4,4.3,7.5,4.3
"Broward","Broward","Broward County","Florida",1926200,40.4,59547,30277,62.1,260530,1392,37.4,11,27.3,38.29999923706055,29.2,20.2,12.2,32.4,42.5,6.1,13.1,14.2
"Wayne","Wayne","Wayne County","Michigan",1757300,37.9,47301,26659,62,113283,875,37.2,13.5,30.1,43.60000038146973,32.5,14.3,9.6,23.9,45.3,9.2,22.3,6.3
"Alameda","Alameda","Alameda County","California",1656750,37.6,99406,43583,53.5,768816,1797,31.7,11.6,17.6,29.200000762939453,23.5,27.3,20.1,47.4,57.3,4.6,9.9,4.4
"New York","New York","New York County","New York",1631990,37.5,86553,50985,24.1,989981,1740,29.2,12.7,12.4,25.09999942779541,13.5,31.7,29.6,61.3,42.2,5.2,15.8,5.2
"Middlesex","Middlesex","Middlesex County","Massachusetts",1600840,38.5,102603,46130,62.4,501473,1636,30.7,6.6,19,25.59999990463257,18.1,27.5,28.8,56.3,55.2,3.8,7.4,2.5
"Philadelphia","Philadelphia","Philadelphia County","Pennsylvania",1579080,34.4,45927,26211,53,160287,1042,37.6,15.3,32.6,47.89999866485596,22.4,17.3,12.4,29.7,45,9.2,24.3,8.1
"Sacramento","Sacramento","Sacramento County","California",1524550,36.2,67151,32275,56.4,350819,1252,33.9,12.3,22.4,34.69999980926514,34.5,20.4,10.4,30.8,48,6.5,14.7,5.5
"Suffolk","Suffolk","Suffolk County","New York",1483830,41.5,101031,41227,80.6,397696,1742,39.3,9.4,27.3,36.69999885559082,26.9,19.8,16.6,36.4,41.9,4.2,6.9,4.7
"Palm Beach","Palm Beach","Palm Beach County","Florida",1465030,44.8,63299,30762,68.9,280595,1398,37.2,11.5,24,35.5,27.8,22.6,14.1,36.7,39.5,5.9,12.2,13
"Bronx","Bronx","Bronx County","New York",1435070,34.2,40088,22232,19.7,391758,1212,44.7,27.2,27.9,55.10000038146973,24.8,12.9,7.2,20.1,43.5,10,28,8.6
"Hillsborough","Hillsborough","Hillsborough County","Florida",1422280,37.2,58884,30363,58.6,213522,1142,32.7,11.3,27.1,38.40000057220459,28,21.4,12.2,33.6,44.6,5.5,14.6,12.6
"Nassau","Nassau","Nassau County","New York",1356510,41.7,116100,45285,80.7,493275,1772,36,8.6,22.7,31.30000114440918,22.8,25.3,20.7,46,42.7,3.9,5.6,4.4
"Orange","Orange","Orange County","Florida",1349750,35.1,58254,28064,55.4,233698,1215,34.7,11.5,24.4,35.89999961853027,29.6,22.8,11.8,34.6,42.1,5.1,14.9,13.3
"Franklin","Franklin","Franklin County","Ohio",1290360,34.1,61305,32427,53.4,175644,974,28.4,8.8,24.6,33.40000057220459,26.5,25.3,14.8,40.1,44.2,4.9,15.7,7.6
"Oakland","Oakland","Oakland County","Michigan",1253180,40.9,79698,39352,71,241888,1080,27.4,5.9,18.6,24.500000476837158,28.3,26.8,20.4,47.2,48.2,4.4,8.2,4.4
"Cuyahoga","Cuyahoga","Cuyahoga County","Ohio",1247450,40.4,50366,29458,58.2,132460,809,31.9,10.2,27.8,37.999999046325684,29.5,19,13.5,32.5,43.2,7.6,17.5,5.4
"Hennepin","Hennepin","Hennepin County","Minnesota",1245840,36.5,78167,40502,62.4,276787,1135,29.5,6.7,16.4,23.09999942779541,26.9,31.6,18.4,50,45.1,3.8,10.4,4.9
"Travis","Travis","Travis County","Texas",1226800,34.2,75887,39860,52.4,324638,1289,29.2,10.7,16.5,27.199999809265137,22.9,31.7,18.3,50,46.4,3.8,12,13.1
"Allegheny","Allegheny","Allegheny County","Pennsylvania",1221740,40.8,61043,33363,64.3,153125,890,30,5.4,27,32.40000009536743,26,24.2,17.4,41.6,46,4.8,11.6,3.8
"Fairfax","Fairfax","Fairfax County","Virginia",1145860,38,124831,53727,68,563104,1881,27.9,7.5,12.8,20.300000190734863,18.1,31.1,30.5,61.6,53.7,3.9,6.1,8.2
"Contra Costa","Contra Costa","Contra Costa County","California",1142250,39.7,99716,42181,65.9,623716,1819,33.3,10.5,17.3,27.799999237060547,29.9,26.2,16.1,42.3,51.3,5.3,8.7,5.1
"Salt Lake","Salt Lake","Salt Lake County","Utah",1133650,32.8,74865,32867,67.1,305800,1118,28.3,9.2,22.6,31.800000190734863,32.6,22.8,12.8,35.6,46,3.5,9.2,10.5
"Mecklenburg","Mecklenburg","Mecklenburg County","North Carolina",1074480,35.1,66641,35339,56.4,237723,1146,29.4,9.7,17,26.699999809265137,27.9,29.8,15.5,45.3,41.7,4.8,11.6,11.6
"Wake","Wake","Wake County","North Carolina",1069080,36.2,80591,39798,63.9,281527,1150,27.9,7,15.1,22.100000381469727,25.1,32.9,19.9,52.8,50.9,4,9.1,8.4
"Montgomery","Montgomery","Montgomery County","Maryland",1043530,39.2,108820,49033,65.4,484854,1768,32,9,13.4,22.399999618530273,18.7,27,31.8,58.8,56,4.5,6.8,7.1
"Fulton","Fulton","Fulton County","Georgia",1036200,35.5,69673,37675,51.6,312614,1205,32,7.4,17.7,25.100000858306885,22,31.2,21.7,52.9,44,5.5,14.4,10.3
"Pima","Pima","Pima County","Arizona",1027210,38.5,53379,27279,63.2,182719,907,31.3,11.6,22.2,33.80000114440918,33.8,18.7,13.7,32.4,47.5,7,16.8,9.2
"St. Louis","St. Louis","St. Louis County","Missouri",996919,40.3,67420,35387,68.6,199481,983,29.3,6.5,21.2,27.700000762939453,28.6,24.8,18.8,43.6,42.5,4.7,9.7,6.1
"Honolulu","Honolulu","Honolulu County","Hawaii",984821,37.9,85857,36957,56.2,678430,1745,34.1,8.1,25.9,34,31,22.9,12.1,35,45.8,4,8.3,3.3
"Fresno","Fresno","Fresno County","California",984521,32.2,53969,25238,53.3,253899,998,35.6,24,22.7,46.70000076293945,32.1,14,7.1,21.1,45.8,8.7,22.5,8.3
"Collin","Collin","Collin County","Texas",973977,36.9,96913,46479,65,314895,1389,27.1,6.2,15,21.199999809265137,26.5,33.2,19.1,52.3,48.2,3.7,6.3,10.4
"Westchester","Westchester","Westchester County","New York",968890,40.9,96610,42615,61.4,539771,1537,36,11.9,19.2,31.100000381469727,19.9,24.2,24.7,48.9,44.2,5.4,8.8,5.8
"Pinellas","Pinellas","Pinellas County","Florida",964666,48.1,54090,30009,67,198318,1112,33.5,8.7,28,36.69999980926514,31.6,20.6,11.1,31.7,41.6,5.4,12.2,10.9
"Marion","Marion","Marion County","Indiana",951869,34.3,48316,29572,53.9,135073,889,33,13.9,28,41.89999961853027,27.2,20.1,10.8,30.9,42,6.3,17.8,10.5
"Milwaukee","Milwaukee","Milwaukee County","Wisconsin",951226,34.9,50606,30129,49.5,158277,880,31.6,11.7,28.4,40.09999942779541,29,19.7,11.3,31,41.2,5.3,19,7.3
"Fairfield","Fairfield","Fairfield County","Connecticut",943926,40.6,95645,40609,67.1,428355,1499,36.5,10,21.5,31.5,20.6,26.8,21.2,48,43.1,6.6,8.9,8.4
"Shelby","Shelby","Shelby County","Tennessee",936374,35.6,51657,28181,55.1,148187,942,35.2,11.6,27.5,39.10000038146973,29.3,18.9,12.7,31.6,39.8,7.1,19.3,11.5
"Duval","Duval","Duval County","Florida",936186,36.2,55807,30608,56.7,180270,1074,31.6,10.2,27.8,37.999999046325684,31.9,19.9,10.1,30,42.7,5.8,14.5,11.8
"Bergen","Bergen","Bergen County","New Jersey",930390,41.9,101144,46138,64.8,468795,1506,29.2,7.5,22.7,30.200000762939453,20.5,30.5,18.8,49.3,45.1,4,6.7,7.5
"DuPage","DuPage","DuPage County","Illinois",929060,39.3,92809,41943,73.4,308548,1316,29,7,18.2,25.200000762939453,25.4,29.8,19.6,49.4,45,4.1,6.4,5.3
"Erie","Erie","Erie County","New York",919355,40.3,58121,31856,64.6,152737,829,31.5,8.2,27.6,35.80000019073486,29.9,19.4,14.9,34.3,42.6,4.3,14.2,3.2
"Gwinnett","Gwinnett","Gwinnett County","Georgia",915046,35.3,71026,32482,66.3,217631,1272,31.3,12.3,22.3,34.59999942779541,28.4,23.9,13,36.9,43,4.2,10.7,16.5
"Prince George's","Prince George's","Prince George's County","Maryland",908670,37.1,84920,40372,62.1,303456,1475,31.1,13.3,25.8,39.09999942779541,27.8,18.7,14.4,33.1,46.2,6,8.5,10.1
"Hartford","Hartford","Hartford County","Connecticut",893561,40.4,75148,37985,64.1,240613,1106,33.6,10.3,26.6,36.90000057220459,25,21.3,16.8,38.1,46.6,5.8,10.8,4.1
"Kern","Kern","Kern County","California",887641,31.6,53350,25013,58.3,210368,978,33.8,25.9,27.8,53.69999885559082,29.9,11,5.4,16.4,46,9.8,21,7.9
"Pierce","Pierce","Pierce County","Washington",877013,36.1,72113,36273,62.1,303065,1250,30.9,8.5,27.2,35.70000076293945,37.1,17.9,9.3,27.2,44.9,5.3,10.4,6
"San Francisco","San Francisco","San Francisco County","California",874961,38.2,112449,52677,37.6,1098790,1895,24.3,11.5,12.1,23.600000381469727,18.4,34.8,23.3,58.1,52.1,4.2,10.3,3.7
"Macomb","Macomb","Macomb County","Michigan",870325,40.9,62855,31619,73.3,166847,962,30.5,10.1,29.7,39.80000114440918,35.4,16.1,8.7,24.8,42.7,5.4,10.6,5.2
"New Haven","New Haven","New Haven County","Connecticut",857513,40.3,69905,35721,61.8,248664,1153,35.7,9.9,30.7,40.60000038146973,24.4,18.6,16.4,35,45.1,6.4,11.7,5
"Hidalgo","Hidalgo","Hidalgo County","Texas",855176,29.2,40014,19271,68,88726,734,33.4,34.3,23.5,57.79999923706055,23.5,13.2,5.5,18.7,37.9,6.9,29.7,30.3
"Ventura","Ventura","Ventura County","California",847263,38.1,88131,33814,63.2,586601,1776,35.4,15,19.2,34.20000076293945,32.1,21.3,12.5,33.8,48.1,5.1,8.9,8.8
"El Paso","El Paso","El Paso County","Texas",836062,32.2,46871,23153,61.1,122274,838,31.8,21.5,23.7,45.20000076293945,31.4,15.8,7.6,23.4,40.8,6.1,20.2,20.3
"Denton","Denton","Denton County","Texas",833822,35.5,86913,40677,65.1,277514,1218,27.9,7.5,17.8,25.299999237060547,29.6,30.3,14.8,45.1,42.1,3.9,7.6,11.2
"Baltimore","Baltimore","Baltimore County","Maryland",828018,39.4,76866,38949,66.1,261351,1302,30.5,8.5,25.8,34.29999923706055,26.4,22.6,16.7,39.3,46.5,4.8,9,5.2
"Middlesex","Middlesex","Middlesex County","New Jersey",825920,38.6,89533,41142,63.5,343709,1469,30.5,10.2,25.3,35.499999046325684,21,25.8,17.8,43.6,54.2,5.2,8.5,6.8
"Worcester","Worcester","Worcester County","Massachusetts",824772,40.2,74679,35350,65.1,280416,1060,32.6,9.3,27.8,37.09999942779541,26.6,22,14.4,36.4,48.4,5,10.1,2.5
"Montgomery","Montgomery","Montgomery County","Pennsylvania",823823,41.2,91546,43022,71.8,315646,1295,29.4,5.6,23.6,29.200000286102295,21.6,27.9,21.4,49.3,45.6,4.2,5.9,3.6
"Hamilton","Hamilton","Hamilton County","Ohio",813589,36.8,57212,31579,57.9,155469,810,30.9,8.6,26.3,34.89999961853027,27.2,22.8,15.1,37.9,43.2,5.4,15.8,5.7
"Multnomah","Multnomah","Multnomah County","Oregon",804606,37.2,69176,34152,54.5,385845,1237,32.8,8.5,17,25.5,28.7,27.6,18.3,45.9,47.4,4.9,13.8,6.7
"Snohomish","Snohomish","Snohomish County","Washington",798808,38,86691,40501,67.1,402936,1438,31.2,7.7,23.3,30.999999046325684,36.2,22.2,10.6,32.8,50.2,4.1,7.5,6.1
"Suffolk","Suffolk","Suffolk County","Massachusetts",796605,32.8,69669,34192,36.1,496170,1590,39.3,13.7,22.1,35.80000019073486,18.2,25.3,20.7,46,49.1,6.4,18.2,3.8
"Essex","Essex","Essex County","New Jersey",795404,37.6,61510,32062,44,386139,1178,38.1,13.9,28,41.89999961853027,22.6,21.1,14.4,35.5,44.6,8.1,15.8,11.4
"Oklahoma","Oklahoma","Oklahoma County","Oklahoma",787216,34.6,54520,30299,58.9,151230,870,28.5,12.6,25.7,38.30000114440918,29.7,20.2,11.8,32,40.4,4.5,16,14
"Essex","Essex","Essex County","Massachusetts",783676,40.9,79263,35990,64.2,409919,1241,37.6,10.7,25.1,35.80000019073486,24.4,23.7,16.2,39.9,44.9,4.9,10.4,3
"San Mateo","San Mateo","San Mateo County","California",767423,39.7,122641,49128,60.2,1088400,2316,30.5,10.4,14.9,25.299999237060547,23.8,29,22,51,55.9,3.7,6.7,4.2
"Jefferson","Jefferson","Jefferson County","Kentucky",767419,38.3,56586,31170,61.8,170030,871,29.6,9.4,26.7,36.10000038146973,30.5,19.8,13.6,33.4,41,5.4,14.2,5.2
"Fort Bend","Fort Bend","Fort Bend County","Texas",765394,36.3,97743,40880,77.2,265623,1431,30.9,9.4,17.9,27.299999237060547,26.5,28.1,18.1,46.2,53.2,5.1,7.4,11.7
"Cobb","Cobb","Cobb County","Georgia",751218,36.7,77932,37999,64.5,253850,1202,27.8,7.9,18.5,26.40000009536743,26.2,30.1,17.3,47.4,42.8,4.4,9.1,12.3
"DeKalb","DeKalb","DeKalb County","Georgia",749323,35.8,62399,32501,54.6,215480,1169,32.5,10.7,20.9,31.59999942779541,24.3,25.3,18.8,44.1,44.6,6.4,15.1,14
"Monroe","Monroe","Monroe County","New York",743341,38.9,60075,31426,63.5,148324,927,34.8,9.6,23.4,33,28.4,21.4,17.2,38.6,46.6,5.5,14.4,3.3
"San Joaquin","San Joaquin","San Joaquin County","California",742603,34.3,64432,29535,56.6,340990,1208,33.1,20.7,28.3,49,32.2,12.9,5.9,18.8,46.1,7.8,14.5,6.4
"Lee","Lee","Lee County","Florida",737468,48.5,57832,28529,72.3,222576,1154,32.8,11.6,31,42.60000038146973,29.2,17.6,10.6,28.2,40.1,5.3,13.1,13.3
"Denver","Denver","Denver County","Colorado",705576,34.5,68592,39806,49.9,390553,1311,31.1,12,16.8,28.799999237060547,21.7,30.2,19.3,49.5,46.1,3.8,12.9,9.3
"Lake","Lake","Lake County","Illinois",701473,38.4,89427,37491,73,265084,1197,30.2,9.4,20.8,30.19999885559082,24.6,26.5,18.8,45.3,44.6,5.2,7.9,6.8
"Norfolk","Norfolk","Norfolk County","Massachusetts",700437,40.9,103291,46624,68.9,470666,1589,32.9,6.1,19.2,25.30000066757202,21.1,28.6,25,53.6,49.5,4.2,6.3,1.8
"El Paso","El Paso","El Paso County","Colorado",698974,34.2,68779,32586,64,274536,1174,31.3,5.8,20.4,26.199999809265137,35.3,23.6,15,38.6,46.6,5.8,10.1,7.2
"Jackson","Jackson","Jackson County","Missouri",696216,36.8,55134,31562,58.2,144644,910,30.1,9.4,28.3,37.69999885559082,30.7,20,11.6,31.6,38.8,4.4,14.7,11.2
"District of Columbia","District of Columbia","District of Columbia","District of Columbia",692683,34,86420,49542,41.6,600200,1541,31.9,9.1,16.8,25.899999618530273,15.5,24.8,33.8,58.6,52.2,6.9,16.2,3.7
"Will","Will","Will County","Illinois",689315,37.9,86961,37319,81.3,231433,1176,31.7,9,26.9,35.89999961853027,29.8,22.3,12,34.3,42,4.7,6.7,5
"Davidson","Davidson","Davidson County","Tennessee",687488,34.3,60388,32518,54.3,241737,1102,30.3,10.9,22.1,33,25.3,26.1,15.6,41.7,39,4.1,14.9,11.9
"Polk","Polk","Polk County","Florida",686218,40.2,50584,26032,68.9,140968,978,30.8,15,34.7,49.70000076293945,30.1,13.2,7,20.2,37.8,5.9,15.8,12.7
"Bernalillo","Bernalillo","Bernalillo County","New Mexico",677858,37.6,53329,28973,63,198744,874,32.5,11.1,23.2,34.30000114440918,31.3,18.8,15.6,34.4,49,5.7,16.7,8.2
"Hudson","Hudson","Hudson County","New Jersey",670046,35.3,71189,36230,31.7,378219,1391,29.1,15.2,25.1,40.30000019073486,17.4,26.1,16.2,42.3,47.2,5.2,15.2,12.9
"Jefferson","Jefferson","Jefferson County","Alabama",659680,37.7,53901,29369,62.7,154888,900,33.3,9.9,26.4,36.29999923706055,30.3,20.4,13,33.4,38.9,6.5,16,9.2
"Kent","Kent","Kent County","Michigan",648121,35.3,63053,30869,69.8,174195,899,29.7,9.3,24.1,33.40000057220459,30.9,23.7,12,35.7,39,4.4,11.7,5.8
"Tulsa","Tulsa","Tulsa County","Oklahoma",646419,35.7,55517,30505,58.8,154799,865,28.5,10.6,25.4,36,32.2,21.4,10.4,31.8,38.8,5.4,15,14
"Arapahoe","Arapahoe","Arapahoe County","Colorado",644560,36.6,77469,38273,63.5,358174,1390,32.4,7.4,20.8,28.19999933242798,29,27.2,15.6,42.8,45.6,4.1,8.1,7.7
"Providence","Providence","Providence County","Rhode Island",635737,37.4,58974,30257,54.2,233562,967,34.9,14.2,31,45.19999980926514,25.8,17.5,11.5,29,42.8,5.9,15.2,5.4
"Bucks","Bucks","Bucks County","Pennsylvania",626806,43.9,89139,40466,77,330328,1228,31.3,6.1,28.2,34.30000066757202,24.4,24.4,16.9,41.3,44.1,4.1,5.9,4
"Monmouth","Monmouth","Monmouth County","New Jersey",621659,43.3,99733,43508,73.8,421804,1399,35.2,6.6,23.4,29.999999523162842,24,27.9,18.2,46.1,42.5,4.9,6.9,5.7
"Baltimore","Baltimore","Baltimore City","Maryland",609032,35.4,50379,29943,47.5,159116,1073,37.7,14.8,29.1,43.90000057220459,24.2,16.8,15.1,31.9,47.4,8.3,21.2,6.6
"Utah","Utah","Utah County","Utah",605490,24.8,74665,26084,67.6,305418,1060,28.7,5.4,16.4,21.799999713897705,37.4,28.1,12.7,40.8,40,3.6,10.6,8
"Ocean","Ocean","Ocean County","New Jersey",596415,42.7,70909,34168,80,275457,1428,39.1,8,34,42,28,19.9,10,29.9,37.6,5.1,10.1,5.6
"Johnson","Johnson","Johnson County","Kansas",591506,37.6,89087,43408,69.2,259291,1109,25.7,4,14.5,18.5,25.5,34.6,21.3,55.9,41,2.9,5.4,5.9
"Washington","Washington","Washington County","Oregon",589481,36.7,82215,38189,61.6,386399,1359,30.1,7.8,17.4,25.199999809265137,30.4,27.4,17.1,44.5,53.1,4.4,8.9,5.9
"Brevard","Brevard","Brevard County","Florida",585507,47.3,56775,28542,74.3,195014,1068,32.1,7.8,28.3,36.09999942779541,33.8,18.7,11.5,30.2,48.9,5.2,11.8,10.2
"Jefferson","Jefferson","Jefferson County","Colorado",574798,40.3,82986,41035,70.7,397747,1376,32.2,5.5,20.3,25.799999237060547,29.1,28.7,16.4,45.1,47.8,3.6,7.1,5.5
"Montgomery","Montgomery","Montgomery County","Texas",571949,37.1,80902,37915,71,233922,1203,27.4,12.3,22.8,35.09999942779541,30.4,23,11.5,34.5,44.1,4.2,9.3,14.1
"Anne Arundel","Anne Arundel","Anne Arundel County","Maryland",571275,38.3,100798,45925,74.2,360921,1663,30.1,7.6,23.7,31.30000066757202,27,24,17.7,41.7,47.9,4.2,5.8,4.4
"Delaware","Delaware","Delaware County","Pennsylvania",564554,39,74477,35628,68.8,244025,1078,30.4,6.9,30.2,37.100000858306885,23.8,22.4,16.7,39.1,43.8,5.6,10,4.8
"Bristol","Bristol","Bristol County","Massachusetts",561037,41,69095,32803,62.6,300991,901,29.6,14.3,29.9,44.19999980926514,27.1,18.3,10.4,28.7,44.3,5.4,11.3,2.8
"Douglas","Douglas","Douglas County","Nebraska",560617,34.7,64629,34837,61.7,168848,934,28.7,9.4,21.4,30.799999237060547,29.5,25.8,13.9,39.7,40,4,12,9.2
"New Castle","New Castle","New Castle County","Delaware",556165,38.4,73892,36458,67.9,260546,1163,31,8.4,30.8,39.19999885559082,24.6,20.9,15.3,36.2,46.3,5.9,11.4,4.9
"Union","Union","Union County","New Jersey",554033,38.7,80198,36098,58.6,367138,1290,32.1,13.6,28.6,42.20000076293945,21.8,21.6,14.4,36,45,5.7,9.5,11.3
"Williamson","Williamson","Williamson County","Texas",547604,36.3,87337,39583,68.4,262237,1327,28.1,6.8,20.5,27.300000190734863,31.4,27.4,13.9,41.3,46.8,4.8,6.4,9.3
"Ramsey","Ramsey","Ramsey County","Minnesota",544442,35,64660,33150,59.4,229356,1007,31.1,9.7,20.9,30.59999942779541,27.2,25.4,16.8,42.2,46.4,4.5,14,5.3
"Stanislaus","Stanislaus","Stanislaus County","California",543194,34.1,60704,27840,57.8,289717,1155,33,21.1,29.3,50.39999961853027,32.5,11.8,5.2,17,44.1,9.1,15.1,5.7
"Summit","Summit","Summit County","Ohio",541334,41,57181,30799,65.8,146042,823,30.4,8.3,30.2,38.500000953674316,29.1,20.6,11.9,32.5,42.1,5.4,13.2,5.7
"Lancaster","Lancaster","Lancaster County","Pennsylvania",540999,38.6,66056,31318,68.1,209186,1009,29.4,15,35.3,50.29999923706055,22.5,17.3,10,27.3,40.6,3.7,10.1,11.7
"Volusia","Volusia","Volusia County","Florida",536487,46.6,49494,26792,70.3,174376,1046,36.7,9.5,31.8,41.29999923706055,35,15.6,8.1,23.7,40.1,4.9,14.3,11.5
"Dane","Dane","Dane County","Wisconsin",536078,35.1,73893,38191,58.2,265514,1083,29.3,4.2,17.8,21.999999046325684,26.7,30.5,20.9,51.4,51.3,2.6,10.9,3.9
"Montgomery","Montgomery","Montgomery County","Ohio",531670,39.2,51542,28867,61,119165,793,30.4,9.9,27.8,37.69999885559082,34.5,16.7,11.2,27.9,43.2,6.4,16.6,6.6
"Kane","Kane","Kane County","Illinois",531376,37.3,79394,33731,73.9,238336,1148,31.4,15.4,22.7,38.10000038146973,28.7,21.3,11.8,33.1,40.2,4.8,9.4,8.3
"Guilford","Guilford","Guilford County","North Carolina",527868,37.1,53261,28890,58.8,166844,878,30.6,10.9,23.3,34.19999885559082,29.8,23.1,12.9,36,41.8,5.7,15.8,9.5
"Pasco","Pasco","Pasco County","Florida",524602,44.5,52828,27455,72.1,157746,1062,32.6,10.5,33.2,43.70000076293945,32.2,15.9,8.2,24.1,39.6,5.7,12.7,11.5
"Chester","Chester","Chester County","Pennsylvania",519560,40.4,100214,43323,75,356656,1330,29.3,6.4,20.8,27.19999933242798,19.8,31.5,21.5,53,46.8,4,6.4,5.3
"Plymouth","Plymouth","Plymouth County","Massachusetts",515303,42.7,89489,39644,76.5,369668,1279,38.2,7.1,27.8,34.899999141693115,27.5,23.7,13.9,37.6,42.8,5,7.4,2.2
"Sedgwick","Sedgwick","Sedgwick County","Kansas",513375,35.4,56524,30468,62.9,139295,824,28.8,10.4,26.3,36.69999885559082,32.4,19.7,11.2,30.9,39.5,5.1,13.7,10.7
"Greenville","Greenville","Greenville County","South Carolina",507003,38.2,60351,30374,67.5,183822,918,28.7,12,23.8,35.79999923706055,29.2,22.2,12.8,35,42.1,4.3,11.5,10.8
"Camden","Camden","Camden County","New Jersey",506738,38.8,70451,33626,66.8,197538,1079,36.8,11.3,29.5,40.80000019073486,26.7,20.3,12.2,32.5,44.6,6.6,12.2,6.5
"Spokane","Spokane","Spokane County","Washington",505505,37.6,56904,30173,62.4,224448,913,30.4,6.2,23.2,29.40000057220459,39.8,19.4,11.3,30.7,44,5.6,13.7,5.3
"Adams","Adams","Adams County","Colorado",504108,33.8,71202,34088,66.2,306020,1346,32.7,16.2,28.6,44.80000114440918,30.9,16.5,7.8,24.3,44.7,4,10.8,10.1
"Passaic","Passaic","Passaic County","New Jersey",503637,37.2,69688,31272,52.7,342612,1293,38.3,16.3,34.5,50.79999923706055,21,19,9.2,28.2,42.6,4.5,15.7,12.5
"Sonoma","Sonoma","Sonoma County","California",499772,42.1,81018,36623,61.5,607860,1621,33.7,11.2,18.7,29.90000057220459,34.5,22.2,13.3,35.5,48,4.4,9.2,6.1
"Morris","Morris","Morris County","New Jersey",493379,42.8,115527,50928,73.9,455711,1534,27.1,5.5,20.1,25.600000381469727,20.4,31.5,22.6,54.1,45.7,4.3,4.8,4.7
"Lake","Lake","Lake County","Indiana",485707,39.1,56128,29975,69.7,146344,886,33.3,11.3,35.1,46.39999866485596,31,14.9,7.6,22.5,39.1,6.9,15.6,7.6
"Polk","Polk","Polk County","Iowa",479612,35.5,67637,36061,67.1,180255,910,26.9,8.5,24.5,33,30.3,25.5,11.2,36.7,37.8,4.2,10.4,4.9
"Richmond","Richmond","Richmond County","New York",474893,40.1,82783,39777,69.3,505152,1319,37.4,11.3,30.4,41.69999980926514,24.5,20.2,13.7,33.9,43.3,4.6,11.7,4.3
"Clark","Clark","Clark County","Washington",473252,38.4,75253,36268,67,326783,1261,30.6,7.3,24.2,31.500000953674316,37.8,20,10.6,30.6,45.5,4.8,9.3,5.8
